dataset,model,accuracy,precision,recall,f1,latency_ms,fps,model_size_mb,energy_proxy_wh_per_1000,onnx_variant
dagm,efficientnet_b0,0.067032967032967,0.1052895572178678,0.093076923076923,0.0980280516075678,23.67424964904785,42.23998710937894,15.326905250549316,0.0415779009461402,fp32
dagm,efficientnet_b0_pruned,0.067032967032967,0.0824446680080482,0.0938461538461538,0.0872309899569584,25.378012657165527,39.4041887167886,15.326905250549316,0.0468647300402323,fp32
dagm,mobilenet_v3_large,0.0681318681318681,0.1070580830785829,0.0953846153846153,0.1000871474489565,8.791887760162354,113.74121545672844,16.073893547058105,0.01480700430274,fp32
dagm,mobilenet_v3_large_pruned,0.0527472527472527,0.0725848323239627,0.0615384615384615,0.0290083346605085,9.292006492614746,107.61938240086212,16.073893547058105,0.0153782707452774,fp32
dagm,resnet50,0.0659340659340659,0.1017603850050658,0.0923076923076923,0.0957634598411297,112.90230751037598,8.85721489711889,89.67621231079102,0.2025655567248662,fp32
dagm,resnet50_pruned,0.0769230769230769,0.0661535782155829,0.1076923076923076,0.0785437288253688,110.72444915771484,9.03142898977632,89.67621231079102,0.1867552375793457,fp32
ksdd,efficientnet_b0,0.9484536082474226,0.8718434343434344,0.8385057471264368,0.8541353383458646,13.496816158294678,74.09154783407452,15.28781032562256,0.0209031940251588,fp32
ksdd,efficientnet_b0_pruned,0.8556701030927835,0.4462365591397849,0.4770114942528735,0.4611111111111111,14.16301727294922,70.60642380984446,15.28781032562256,0.0210615869363149,fp32
ksdd,mobilenet_v3_large,0.8917525773195877,0.4481865284974093,0.4971264367816091,0.4713896457765668,6.672942638397217,149.85892344493334,16.034798622131348,0.0100956061333417,fp32
ksdd,mobilenet_v3_large_pruned,0.788659793814433,0.5892714809501036,0.6609195402298851,0.6012432947310372,6.959056854248047,143.697633306382,16.034798622131348,0.0106647546291351,fp32
ksdd,resnet50,0.9484536082474226,0.9728260869565216,0.75,0.819366852886406,65.29929637908936,15.31410069405017,89.61368179321289,0.1008602048655351,fp32
ksdd,resnet50_pruned,0.8556701030927835,0.5599206349206349,0.5433908045977012,0.5486872715187769,74.74716901779175,13.378433098409042,89.61368179321289,0.1102209296474854,fp32
neu,efficientnet_b0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.91668939590454,50.20914772138936,15.307358741760254,0.0337089968025684,fp32
neu,efficientnet_b0_pruned,0.4111111111111111,0.5595238095238095,0.4111111111111111,0.3801169590643274,20.74075937271118,48.21424240212293,15.307358741760254,0.0393469489266475,fp32
neu,mobilenet_v3_large,0.6777777777777778,0.6770833333333334,0.6777777777777777,0.6774193548387096,8.936381340026855,111.90211808899764,16.054347038269043,0.0152104657391707,fp32
neu,mobilenet_v3_large_pruned,0.2444444444444444,0.1234520123839009,0.2444444444444444,0.1520198440822112,9.797477722167969,102.06708587225262,16.054347038269043,0.0167863451639811,fp32
neu,resnet50,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,114.23168182373048,8.754138817137333,89.64494705200195,0.1870067824522654,fp32
neu,resnet50_pruned,0.2555555555555555,0.3448051948051948,0.2555555555555555,0.1879347826086956,94.6780800819397,10.56210686924095,89.64494705200195,0.1585463349372148,fp32
