dataset,model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
dagm,efficientnet_b0,1,0.2507619602465328,,0.20008568362094306,0.9302197802197802
dagm,efficientnet_b0,2,0.1662865206754386,,0.17266453809351365,0.9307692307692308
dagm,efficientnet_b0,3,0.15829997203107432,,0.17376825736473142,0.9401098901098901
dagm,efficientnet_b0,4,0.1568882607102191,,0.15606661338235703,0.9467032967032967
dagm,efficientnet_b0,5,0.15395458422066188,,0.2153401959161586,0.9153846153846154
dagm,mobilenet_v3_large,1,0.27074536543631794,,0.16425626526235423,0.9412087912087912
dagm,mobilenet_v3_large,2,0.1932050470682198,,0.1726841170187694,0.9368131868131868
dagm,mobilenet_v3_large,3,0.18115390754528027,,0.1675077144480766,0.9406593406593406
dagm,mobilenet_v3_large,4,0.18145863280076222,,0.1536406062644091,0.9456043956043956
dagm,mobilenet_v3_large,5,0.1786670094129867,,0.17370560282698103,0.9346153846153846
dagm,resnet50,1,0.24029432256094366,,0.18717029202123645,0.9324175824175824
dagm,resnet50,2,0.15454898357016258,,0.15379914486300295,0.9461538461538461
dagm,resnet50,3,0.14058798372175116,,0.16284486381754218,0.9434065934065934
dagm,resnet50,4,0.13607365745205413,,0.20059785104480204,0.9324175824175824
dagm,resnet50,5,0.1303278419680587,,0.1634738609318008,0.9461538461538461
ksdd,efficientnet_b0,1,0.19730753114150054,,0.20687439446539982,0.9148351648351648
ksdd,efficientnet_b0,2,0.13809367483886686,,0.14312908336844132,0.9560439560439561
ksdd,efficientnet_b0,3,0.11307494917317577,,0.11082489837123,0.967032967032967
ksdd,efficientnet_b0,4,0.09974822712441285,,0.09864424395820369,0.9642857142857143
ksdd,efficientnet_b0,5,0.09431790270289217,,0.0866161730626355,0.978021978021978
ksdd,mobilenet_v3_large,1,0.25512542321846104,,0.4425975719223852,0.9093406593406593
ksdd,mobilenet_v3_large,2,0.14589064886820488,,0.5152713021506434,0.8186813186813187
ksdd,mobilenet_v3_large,3,0.11999420420793087,,0.313209718660168,0.9093406593406593
ksdd,mobilenet_v3_large,4,0.09924883767962456,,0.2660112729215104,0.9175824175824175
ksdd,mobilenet_v3_large,5,0.08482340627444396,,0.2739835148272307,0.9038461538461539
ksdd,resnet50,1,0.20567715126157238,,0.6307347747294799,0.9093406593406593
ksdd,resnet50,2,0.15456585815527302,,0.23533086450365576,0.9148351648351648
ksdd,resnet50,3,0.12960323839839819,,0.1577081518733631,0.9313186813186813
ksdd,resnet50,4,0.11081095620233944,,0.141409901537649,0.9478021978021978
ksdd,resnet50,5,0.09473126075918907,,0.10711220429157434,0.967032967032967
neu,efficientnet_b0,1,0.44580351600113016,,0.12141470270960228,0.9833333333333333
neu,efficientnet_b0,2,0.1577392835461069,,0.10507827867632327,0.9722222222222222
neu,efficientnet_b0,3,0.14495596550113987,,0.04855499442909723,0.9944444444444445
neu,efficientnet_b0,4,0.09318147310599063,,0.04434743049837973,0.9944444444444445
neu,efficientnet_b0,5,0.08293626352921517,,0.028654418663000284,0.9944444444444445
neu,mobilenet_v3_large,1,0.3837163604524297,,0.9815311056116353,0.6555555555555556
neu,mobilenet_v3_large,2,0.1049594813521253,,0.39770758670309314,0.9333333333333333
neu,mobilenet_v3_large,3,0.07089189401691935,,0.25990921129351074,0.9555555555555556
neu,mobilenet_v3_large,4,0.07103564475498085,,0.13304701649948306,0.9833333333333333
neu,mobilenet_v3_large,5,0.038379568284047615,,0.06741477304097751,0.9722222222222222
neu,resnet50,1,0.5183474637257556,,0.135065912714471,0.9833333333333333
neu,resnet50,2,0.17056173395637111,,0.0818983095333628,0.9888888888888889
neu,resnet50,3,0.10770102603904282,,0.053348320414838585,0.9888888888888889
neu,resnet50,4,0.09369409840049532,,0.040343808070958956,0.9944444444444445
neu,resnet50,5,0.06804588518086045,,0.0371328196083398,0.9944444444444445
