task,dataset,model,profile,runtime,onnx_variant,accuracy,latency_ms,energy_proxy_wh_per_1000,accuracy_norm,latency_norm,energy_norm,weighted_score
classification,dagm,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.06813186813186813,13.088202476501465,0.019986775865157444,0.012805587892898712,0.9774052362604381,0.9916297536315676,0.4979503155508943
classification,dagm,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.06703296703296703,5.985128879547119,0.009436553200085959,0.011641443538998831,1.0,0.9995866807554555,0.5057380579205906
classification,dagm,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.056043956043956046,6.972527503967285,0.010023008286952973,0.0,0.9968591007356156,0.9991443791533212,0.49888660605134894
classification,ksdd,resnet50,EDGE_CPU_1T,onnx,fp32,0.9130434782608695,64.74436521530151,0.10086632564167182,0.907880751126183,0.8130878070737257,0.9306307867078464,0.8839928750267785
classification,ksdd,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.8695652173913043,64.29507732391357,0.09802320330341655,0.8618211266892747,0.8145169846851346,0.9327750558828176,0.8618206699267412
classification,ksdd,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,0.9855072463768116,14.232158660888672,0.021775202751159666,0.9846467918543639,0.9737663298966179,0.9902809306872487,0.982509481033617
classification,ksdd,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.8260869565217391,13.656806945800781,0.020803869247436532,0.8157615022523662,0.9755965145191082,0.9910135057377927,0.898762406629474
classification,ksdd,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.8405797101449275,6.13178014755249,0.008888526305556295,0.8311147103980023,0.9995335046571797,1.0,0.9154174065961551
classification,ksdd,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.7246376811594203,6.283807754516602,0.009569715559482576,0.7082890452329133,0.9990499072659437,0.9994862503453116,0.8537567448653021
classification,neu,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,1.0,28.31648588180542,0.02253520334760348,1.0,0.9289643098072095,0.9897077418975908,0.976630841321681
classification,neu,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.6666666666666666,28.885042667388916,0.023914408241709074,0.6468762126503685,0.9271557397470186,0.9886675522087379,0.7993183386910374
classification,neu,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.9888888888888889,13.524627685546875,0.010340704917907716,0.9882292070883457,0.9760169746362591,0.9989047738842893,0.9867006507119085
classification,neu,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.25555555555555554,12.43429183959961,0.015537683844566346,0.21135687491915664,0.9794853155593375,0.9949852374065704,0.5985210796086937
classification,dagm,resnet50,EDGE_CPU_1T,onnx,fp32,0.9428571428571428,251.65852308273315,1.0485771795113883,0.9394644935972061,0.2185168542393551,0.2158718249160364,0.5784616680536168
classification,neu,resnet50,EDGE_CPU_1T,onnx,fp32,0.9888888888888889,249.82709884643555,0.9283158614635467,0.9882292070883457,0.22434258550360603,0.3065723318065132,0.6227318455565574
classification,neu,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.3333333333333333,320.3532576560974,1.3348052402337394,0.29375242530073725,0.0,0.0,0.14687621265036863
classification,dagm,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.37032967032967035,175.96046924591064,0.40258289026220645,0.3329452852153667,0.45931115527560273,0.7030776067447821,0.4448815105393206
classification,dagm,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,0.9428571428571428,36.04482412338257,0.05307600352168082,0.9394644935972061,0.9043805892129683,0.9666740174914803,0.9343812270607896
detection,neu,yolo_nano,EDGE_CPU_1T,onnx,,0.6374280154324804,39.89713191986084,0.020480527718861895,0.3361598688133826,0.986469370676865,0.9284399466999501,0.6497087349497408
detection,neu,yolo_small,EDGE_CPU_1T,onnx,,0.6801475109242804,156.2520980834961,0.07148533487319948,0.4442234655031228,0.0,0.0,0.2221117327515614
detection,dagm,yolo_nano,EDGE_CPU_1T,onnx,,0.8756913714390772,38.30118179321289,0.016549302299817402,0.9388728670130713,1.0,1.0,0.9694364335065355
detection,dagm,yolo_small,EDGE_CPU_1T,onnx,,0.8998560333793889,121.19219303131104,0.051809662520885466,1.0,0.29724148107421944,0.35815604860128514,0.6608036540425228
detection,ksdd,yolo_nano,EDGE_CPU_1T,onnx,,0.5045379355147461,39.023399353027344,0.01725159446398417,0.0,0.9938769652451276,0.9872161834178932,0.4956063262571169
detection,ksdd,yolo_small,EDGE_CPU_1T,onnx,,0.5794012365124153,124.72119331359863,0.05388994894425074,0.18937483864779292,0.2673222537101645,0.3202886175925664,0.23894181895545907
